time,hip_pos_x,hip_pos_y,hip_pos_z,knee_pos_x,knee_pos_y,knee_pos_z,ankl_pos_x,ankl_pos_y,ankl_pos_z
0.005,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.01,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.015,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.02,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.025,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.03,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.035,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.04,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.045,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.05,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.055,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.06,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.065,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.07,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.075,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.08,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.085,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.09,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.095,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.1,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.105,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.11,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.115,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
0.12,0,0,0,-0.012110347,-0.002018368,-0.419820516,-0.020556612,-0.004037167,-0.839730727
