Time(Fw)[msec],Interval(Fw)[msec],Sampling(App)[msec],0xDF0,0xDF1,0xDF2,0xDF3,0xDF4,0xDF5,0xDF6,0xDF7,
311187,60,29.5,0,-0.323974609375,-0.1551513671875,0,83.625,0,6,0,
311217,30,59.1,0,-0.32421875,-0.15478515625,0,83.625,0,6,0,
311247,30,31.6,0,-0.324462890625,-0.154541015625,0,83.625,0,6,0,
311277,30,30.4,0,-0.32470703125,-0.1544189453125,0,83.625,0,6,0,
311307,30,29.3,0,-0.324951171875,-0.154296875,0,83.625,0,6,0,
311337,30,32.2,0,-0.3251953125,-0.154052734375,0,83.625,0,6,0,
311397,60,27.8,0,-0.325927734375,-0.153564453125,0,83.625,0,6,0,
311427,30,46.6,0,-0.326171875,-0.1533203125,0,83.625,0,6,0,
311457,30,31,0,-0.326416015625,-0.153076171875,0,83.625,0,6,0,
311487,30,27.4,0,-0.326416015625,-0.153076171875,0,83.625,0,6,0,
311517,30,46,0,-0.326171875,-0.1531982421875,0,83.625,0,6,0,
311547,30,29.8,0,-0.325927734375,-0.1531982421875,0,83.625,0,6,0,
311577,30,29.7,0,-0.325439453125,-0.1531982421875,0,83.625,0,6,0,
311607,30,31.3,0,-0.32470703125,-0.153076171875,0,83.625,0,6,0,
311637,30,29.1,0,-0.323974609375,-0.15283203125,0,83.625,0,6,0,
311667,30,29.7,0,-0.3232421875,-0.1527099609375,0,83.625,0,6,0,
311697,30,30.5,0,-0.322265625,-0.1524658203125,0,83.625,0,6,0,
311727,30,30.3,0,-0.3212890625,-0.1519775390625,0,83.625,0,6,0,
311757,30,30.2,0,-0.32080078125,-0.1512451171875,0,83.625,0,6,0,
311817,60,32.2,0,-0.319580078125,-0.149169921875,0,83.625,0,6,0,
311847,30,44.2,0,-0.319091796875,-0.14794921875,0,83.625,0,6,0,
311877,30,29.8,0,-0.318603515625,-0.146728515625,0,83.625,0,6,0,
311892,15,29.1,0,-0.318359375,-0.14599609375,0,83.625,0,6,0,
311937,45,29.2,0,-0.3173828125,-0.1434326171875,0,83.625,0,6,0,
311967,30,30.3,0,-0.316650390625,-0.1412353515625,0,83.625,0,6,0,
311997,30,31.2,0,-0.316162109375,-0.138671875,0,83.625,0,6,0,
312027,30,29.3,0,-0.315673828125,-0.1357421875,0,83.625,0,6,0,
312042,15,30.3,0,-0.3154296875,-0.13427734375,0,83.625,0,6,0,
312087,45,29,0,-0.314453125,-0.1297607421875,0,83.625,0,6,0,
312117,30,29.4,0,-0.313232421875,-0.12646484375,0,83.625,0,6,0,
312147,30,48.9,0,-0.310791015625,-0.1239013671875,0,83.625,0,6,0,
312177,30,26.9,0,-0.30908203125,-0.12176513671875,0,83.625,0,6,0,
312237,60,28.8,0,-0.303466796875,-0.11724853515625,0,83.625,0,6,0,
312267,30,60.4,0,-0.300048828125,-0.11407470703125,0,83.625,0,6,0,
312312,45,30.7,0,-0.296630859375,-0.10955810546875,0,83.625,0,6,0,
312342,30,43.6,0,-0.29296875,-0.10595703125,0,83.625,1,6,0,
312387,45,31.5,0,-0.28857421875,-0.10174560546875,0,83.625,1,6,0,
312402,15,29.2,0,-0.28662109375,-0.100341796875,0,83.625,1,6,0,
312432,30,32.5,0,-0.282470703125,-0.0968017578125,0,83.625,1,6,0,
312462,30,27.2,0,-0.279052734375,-0.093505859375,0,83.625,1,6,0,
312492,30,33.4,0,-0.274658203125,-0.08990478515625,0,83.625,1,6,0,
312522,30,29.3,0,-0.27099609375,-0.08636474609375,0,83.625,1,6,0,
312552,30,29.6,0,-0.26513671875,-0.082763671875,0,83.625,1,6,0,
312582,30,29,0,-0.259521484375,-0.0792236328125,0,83.625,1,6,0,
312612,30,31.6,0,-0.253173828125,-0.07562255859375,0,83.625,1,6,0,
312642,30,29.1,0,-0.24609375,-0.072265625,0,83.625,1,6,0,
312672,30,29.2,0,-0.2379150390625,-0.06903076171875,0,83.625,1,6,0,
312702,30,29.7,0,-0.22998046875,-0.066650390625,0,83.625,1,6,0,
312732,30,29.5,0,-0.222900390625,-0.06524658203125,0,83.625,1,6,0,
312762,30,30.7,0,-0.2147216796875,-0.06402587890625,0,83.625,1,6,0,
312792,30,30.4,0,-0.20703125,-0.0626220703125,0,83.625,1,6,0,
312822,30,29.7,0,-0.198974609375,-0.06170654296875,0,83.625,1,6,0,
312852,30,29.6,0,-0.1910400390625,-0.0618896484375,0,83.625,1,6,0,
312882,30,30.7,0,-0.18505859375,-0.06317138671875,0,83.625,1,6,0,
312927,45,30.2,0,-0.180908203125,-0.06536865234375,0,83.625,1,6,0,
312942,15,31.7,0,-0.180419921875,-0.06573486328125,0,83.625,1,6,0,
312972,30,27.4,0,-0.1790771484375,-0.06689453125,0,83.625,1,6,0,
313002,30,30.8,0,-0.17724609375,-0.06884765625,0,83.625,1,6,0,
313032,30,31.5,0,-0.1746826171875,-0.0723876953125,0,83.625,1,6,0,
313062,30,29,0,-0.1715087890625,-0.07781982421875,0,83.625,1,6,0,
313092,30,29.9,0,-0.1671142578125,-0.0853271484375,0,83.625,1,6,0,
313122,30,29.3,0,-0.1612548828125,-0.0948486328125,0,83.625,1,6,0,
313152,30,29.6,0,-0.1549072265625,-0.1065673828125,0,83.625,1,6,0,
313182,30,29.5,0,-0.1527099609375,-0.11932373046875,0,83.625,1,6,0,
313242,60,30,0,-0.1649169921875,-0.137939453125,0,83.625,1,6,0,
313287,45,74.1,0,-0.1849365234375,-0.1444091796875,0.00153350830078125,83.625,1,6,0,
313317,30,30.3,0,-0.201171875,-0.14599609375,0.0092010498046875,83.625,0,6,0,
313362,45,29.9,0,-0.226806640625,-0.1455078125,0.0199432373046875,83.625,0,6,0,
313392,30,44.5,0,-0.241943359375,-0.1429443359375,0.0245361328125,83.625,0,6,0,
313422,30,30.3,0,-0.254150390625,-0.138427734375,0.0245361328125,83.625,0,6,0,
313482,60,59,0,-0.26904296875,-0.1234130859375,0.01073455810546875,83.625,0,6,0,
313512,30,31.2,0,-0.27099609375,-0.11395263671875,0,83.625,0,6,0,
313542,30,30.2,0,-0.273193359375,-0.1038818359375,0,83.625,0,6,0,
313587,45,29.6,0,-0.27392578125,-0.08966064453125,0,83.625,0,6,0,
313617,30,46.4,0,-0.27294921875,-0.08111572265625,0,83.625,0,6,0,
313647,30,29.5,0,-0.267822265625,-0.0733642578125,0,83.625,0,6,0,
313692,45,29.2,0,-0.254150390625,-0.064453125,0,83.625,1,6,0,
313722,30,31.4,0,-0.24267578125,-0.0599365234375,0,83.625,1,6,0,
313752,30,30.5,0,-0.2281494140625,-0.05572509765625,0,83.625,1,6,0,
313782,30,29.2,0,-0.2122802734375,-0.051177978515625,0,83.625,1,6,0,
313812,30,30.6,0,-0.194580078125,-0.046905517578125,0,83.625,1,6,0,
313842,30,29.5,0,-0.175048828125,-0.043914794921875,0,83.625,1,6,0,
313872,30,31.2,0,-0.15283203125,-0.0423583984375,0,83.625,1,6,0,
313902,30,29.2,0,-0.1278076171875,-0.042755126953125,0,83.625,1,6,0,
313932,30,44.6,0,-0.099609375,-0.04376220703125,0,83.625,1,6,0,
313962,30,30.9,0,-0.072265625,-0.044952392578125,0,83.625,1,6,0,
314022,60,42.9,0,-0.0227813720703125,-0.047576904296875,0,83.625,1,6,0,
314052,30,31.9,0,0.00165557861328125,-0.04827880859375,0,83.625,1,6,0,
314082,30,30.6,0,0.02764892578125,-0.048248291015625,0,83.625,1,6,0,
314112,30,30,0,0.056427001953125,-0.048004150390625,0,83.625,1,6,0,
314142,30,45.5,0,0.08819580078125,-0.048126220703125,0,83.625,1,6,0,
314172,30,29,0,0.1212158203125,-0.04888916015625,0,83.625,1,6,0,
314202,30,29.1,0,0.15576171875,-0.05010986328125,0,83.625,1,6,0,
314232,30,30.5,0,0.1932373046875,-0.051605224609375,0,83.625,1,6,0,
314262,30,30.1,0,0.23388671875,-0.0540771484375,0,83.625,1,6,0,
314292,30,30.4,0,0.278076171875,-0.059478759765625,0,83.625,1,6,0,
314352,60,44.5,0,0.33740234375,-0.0816650390625,0.09051513671875,83.625,1,6,0,
314382,30,29.8,0,0.306640625,-0.09759521484375,0.279296875,83.625,1,6,0,
314412,30,30.9,0,0.2364501953125,-0.11358642578125,0.53076171875,2.453125,0,7,0,
314442,30,45.4,0,0.1375732421875,-0.12384033203125,0.79296875,2.453125,0,7,0,
314472,30,29.2,0,0.01666259765625,-0.1199951171875,1.021484375,2.453125,0,7,0,
314502,30,28.5,0,-0.11944580078125,-0.09356689453125,1.19921875,2.453125,0,7,0,
314532,30,32.8,0,-0.258544921875,-0.055908203125,1.3134765625,2.453125,0,7,0,
314562,30,31.1,0,-0.39306640625,-0.017242431640625,1.359375,2.453125,0,7,0,
314592,30,27.8,0,-0.5185546875,0.0118560791015625,1.3408203125,2.453125,0,7,0,
314622,30,32.4,0,-0.625,0.0278472900390625,1.2685546875,2.453125,0,7,0,
314652,30,28.5,0,-0.70458984375,0.03668212890625,1.1494140625,2.453125,0,7,0,
314682,30,30.2,0,-0.76025390625,0.044769287109375,0.99267578125,2.453125,0,7,0,
314712,30,29,0,-0.79150390625,0.052703857421875,0.8037109375,2.453125,0,7,0,
314742,30,30,0,-0.80322265625,0.05780029296875,0.5908203125,2.453125,0,7,0,
314772,30,30,0,-0.7958984375,0.0572509765625,0.3466796875,2.453125,0,7,0,
314802,30,29.4,0,-0.79736328125,0.048858642578125,0.1763916015625,2.453125,0,7,0,
314832,30,30.3,0,-0.791015625,0.0372314453125,0.11810302734375,2.453125,0,7,0,
314892,60,45.2,0,-0.7314453125,0.010528564453125,0.064453125,2.453125,0,7,0,
314937,45,30.3,0,-0.6689453125,0.0029506683349609375,0.04449462890625,2.453125,0,7,0,
314952,15,46.8,0,-0.64404296875,0.0022602081298828125,0.041412353515625,2.453125,0,7,0,
314982,30,29.1,0,-0.5888671875,0.005390167236328125,0.039886474609375,2.453125,0,7,0,
315012,30,27.9,0,-0.515625,0.012969970703125,0.0030670166015625,2.453125,0,7,0,
315042,30,30.7,0,-0.4775390625,0.01422119140625,0,2.453125,1,6,0,
315072,30,32.3,0,-0.43603515625,0.01197052001953125,0,2.453125,1,6,0,
315102,30,26.9,0,-0.39306640625,0.010589599609375,0,2.453125,1,6,0,
315132,30,33.5,0,-0.347900390625,0.01094818115234375,0,2.453125,1,6,0,
315162,30,29.1,0,-0.30517578125,0.0097808837890625,0,2.453125,1,6,0,
315192,30,30.1,0,-0.267333984375,0.00782012939453125,0,2.453125,1,6,0,
315222,30,28.8,0,-0.23388671875,0.0061187744140625,0,2.453125,1,6,0,
315252,30,28.7,0,-0.201171875,0.0042724609375,0,2.453125,1,6,0,
315282,30,30.3,0,-0.16650390625,0.0016632080078125,0,2.453125,1,6,0,
315312,30,30.7,0,-0.1295166015625,-0.0010766983032226562,0,2.453125,1,6,0,
315342,30,30.3,0,-0.08758544921875,-0.005084991455078125,0,2.453125,1,6,0,
315387,45,43.9,0,-0.0193328857421875,-0.01494598388671875,0,2.453125,1,6,0,
315432,45,30.2,0,0.050384521484375,-0.0283355712890625,0,2.453125,1,6,0,
315492,60,59.7,0,0.1453857421875,-0.044464111328125,0,2.453125,1,6,0,
315522,30,29,0,0.19677734375,-0.05303955078125,0,2.453125,1,6,0,
315552,30,46.5,0,0.253173828125,-0.0635986328125,0,2.453125,1,6,0,
315582,30,30.5,0,0.3134765625,-0.0775146484375,0,2.453125,1,6,0,
315612,30,29.4,0,0.350830078125,-0.0928955078125,0.07977294921875,2.453125,1,6,0,
315642,30,30.4,0,0.334228515625,-0.1097412109375,0.274658203125,2.453125,1,6,0,
315672,30,28.9,0,0.2646484375,-0.123291015625,0.556640625,2.453125,0,6,0,
315702,30,30.4,0,0.162109375,-0.128662109375,0.84228515625,94.5,0,7,0,
315732,30,31.8,0,0.032470703125,-0.12030029296875,1.0810546875,94.5,0,7,0,
315762,30,28,0,-0.10687255859375,-0.09149169921875,1.259765625,94.5,0,7,0,
315792,30,30.8,0,-0.248779296875,-0.0567626953125,1.3740234375,94.5,0,7,0,
315822,30,29.3,0,-0.381103515625,-0.028411865234375,1.4208984375,94.5,0,7,0,
315852,30,29.2,0,-0.50341796875,-0.0145721435546875,1.3994140625,94.5,0,7,0,
315912,60,61,0,-0.69580078125,-0.0131072998046875,1.2041015625,94.5,0,7,0,
315957,45,29.3,0,-0.7802734375,-0.00885772705078125,0.9619140625,94.5,0,7,0,
316002,45,30.5,0,-0.8076171875,-0.002105712890625,0.63525390625,94.5,0,7,0,
316032,30,57.9,0,-0.79638671875,-0.0023937225341796875,0.37744140625,94.5,0,7,0,
316062,30,33.3,0,-0.791015625,-0.00711822509765625,0.1810302734375,94.5,0,7,0,
316122,60,43.6,0,-0.7587890625,-0.0095977783203125,0.0843505859375,94.5,0,7,0,
316152,30,29.9,0,-0.7177734375,-0.005893707275390625,0.059814453125,94.5,0,7,0,
316212,60,44.7,0,-0.60498046875,0.0012302398681640625,0.016876220703125,94.5,0,7,0,
316242,30,46.3,0,-0.53076171875,0.0001112818717956543,0,94.5,0,7,0,
316272,30,28.9,0,-0.48681640625,-0.00284576416015625,0,94.5,1,6,0,
316302,30,30.5,0,-0.44921875,-0.004833221435546875,0,94.5,1,6,0,
316332,30,29.1,0,-0.398681640625,-0.0110931396484375,0,94.5,1,6,0,
316362,30,30.7,0,-0.34619140625,-0.01439666748046875,0,94.5,1,6,0,
316392,30,30.6,0,-0.299560546875,-0.01499176025390625,0,94.5,1,6,0,
316422,30,28.4,0,-0.26171875,-0.01160430908203125,0,94.5,1,6,0,
316452,30,45,0,-0.2322998046875,-0.00650787353515625,0,94.5,1,6,0,
